GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
config-migration,com.quorum.tessera.config.migration,Main,32,0,0,0,11,0,2,0,2,0
config-migration,com.quorum.tessera.config.migration,TomlConfigFactory,0,310,0,4,0,69,0,9,0,7
config-migration,com.quorum.tessera.config.migration,LegacyCliAdapter,0,947,0,12,0,315,0,19,0,13
config-migration,com.quorum.tessera.config.builder,JdbcConfigFactory,0,57,0,6,0,9,0,4,0,1
config-migration,com.quorum.tessera.config.builder,ConfigBuilder,0,400,0,12,0,116,0,38,0,32
config-migration,com.quorum.tessera.config.builder,SslTrustModeFactory.new HashMap() {...},0,33,0,0,0,8,0,1,0,1
config-migration,com.quorum.tessera.config.builder,SslTrustModeFactory,0,12,0,0,0,3,0,2,0,2
config-migration,com.quorum.tessera.config.builder,KeyDataBuilder,0,122,0,8,0,25,0,12,0,8
