GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
azure-key-vault,com.quorum.tessera.key.vault.azure,AzureKeyVaultServiceFactory,0,64,1,3,0,14,1,5,0,4
azure-key-vault,com.quorum.tessera.key.vault.azure,AzureCredentialNotSetException,0,4,0,0,0,2,0,1,0,1
azure-key-vault,com.quorum.tessera.key.vault.azure,AzureKeyVaultService,0,115,0,8,0,20,0,7,0,3
azure-key-vault,com.quorum.tessera.key.vault.azure,AzureKeyVaultClientFactory,0,12,0,0,0,4,0,2,0,2
azure-key-vault,com.quorum.tessera.key.vault.azure,AzureKeyVaultClientCredentials,0,83,0,6,0,21,0,8,0,5
azure-key-vault,com.quorum.tessera.key.vault.azure,AzureKeyVaultClientDelegate,18,8,0,0,3,3,3,1,3,1
