GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
grpc-service,com.quorum.tessera.grpc.api,Q2TGrpcApp,0,5,0,0,0,2,0,1,0,1
grpc-service,com.quorum.tessera.grpc.api,Convertor,0,77,0,2,0,24,0,7,0,6
grpc-service,com.quorum.tessera.grpc.api,APITransactionGrpcService,0,102,0,4,0,29,0,8,0,6
grpc-service,com.quorum.tessera.grpc.p2p,P2PGrpcApp,0,5,0,0,0,2,0,1,0,1
grpc-service,com.quorum.tessera.grpc.p2p,PartyInfoGrpcService,0,122,0,2,0,36,0,9,0,8
grpc-service,com.quorum.tessera.grpc.p2p,P2PTransactionGrpcService,0,117,0,2,0,31,0,9,0,8
grpc-service,com.quorum.tessera.grpc.p2p,TesseraGrpcService,0,41,0,0,0,16,0,6,0,6
grpc-service,com.quorum.tessera.grpc.p2p,Convertor,0,80,0,0,0,23,0,6,0,6
grpc-service,com.quorum.tessera.grpc,StreamObserverTemplate,0,52,0,0,0,19,0,3,0,3
grpc-service,com.quorum.tessera.grpc,GrpcApp,0,64,0,0,0,13,0,6,0,6
grpc-service,com.quorum.tessera.client,GrpcClientFactory,0,33,0,2,0,9,0,5,0,4
grpc-service,com.quorum.tessera.client,GrpcClientImpl,0,117,0,0,0,38,0,7,0,7
grpc-service,com.quorum.tessera.client,GrpcP2pClient,0,38,0,0,0,9,0,5,0,5
grpc-service,com.quorum.tessera.client,GrpcP2pClientFactory,0,9,0,0,0,3,0,3,0,3
